Sr. No.,utterance_text,topic,mi_quality
23,"Okay. Uh, thanks for filling this out. Uh, looks like you use alcohol two to three days a week?",reducing alcohol consumption,1
24,"Okay. And then when you do drink alcohol, you typically have five or six drinks.",reducing alcohol consumption,1
25,"Okay. Well, the reason why I like to talk to patients when they fill out this form is because sometimes, uh, alcohol use can impact our health. Um, and my role is to be helpful. I can share some information with you about alcohol use, um, but I don't tell anyone what to do. It's always up to the patient to decide what they wanna do about their drinking. Um, so is it okay if we talk a little bit more about your alcohol use?",reducing alcohol consumption,1
26,How would you define drinking too much?,reducing alcohol consumption,1
27,So a limit of four a night doesn't feel right to you?,reducing alcohol consumption,1
28,"You're not alone in feeling that way. Uh, binge drinking can feel normal to some people.",reducing alcohol consumption,1
29,"Mm-hmm. Well, technically, we define binge drinking as having more than four drinks on one occasion.",reducing alcohol consumption,1
30,"Well, uh, we know if someone binge drinks over time, there's kind of two categories of risk. There's the short-term risk where someone who binge drinks is more likely to fall down, hurt themselves through an accident, uh, they're more likely to drive while under the influence. Uh, but over the long term, binge drinking can also, uh, cause things like heart disease, uh, different kinds of cancer, liver problems obviously, and then even mental health issues like depression and anxiety are more likely to happen.",reducing alcohol consumption,1
31,"Can I ask you, uh, what do you like about drinking alcohol?",reducing alcohol consumption,1
32,And so what about your drinking do you not like or is there anything that worries you about your drinking?,reducing alcohol consumption,1
33,"So, on one hand, you like how beer tastes, uh, it's part of your social life to some extent, um, but on the other hand, you don't like the idea of it posing risks to your health over the long term?",reducing alcohol consumption,1
34,"So weighing those things, you know, what you like about your drinking, what you don't like about your drinking, uh, where do you wanna go from here? Uh, what would you like to change about your drinking?",reducing alcohol consumption,1
35,"Well, how about hypothetically if I were to ask you, how would your drinking have to impact your life in order for you to be ready to change your drinking?",reducing alcohol consumption,1
36,"Okay, great. See you next time.",reducing alcohol consumption,1
37,You got your lip pierced. How long ago did you get that done?,better oral health,1
38,What made you decide to get-get a lip piercing?,better oral health,1
39,"Um, I guess, you know, as your dentist, I have- I have a couple of concerns about lip piercings, oral piercings. I wonder what have you heard about how having an oral piercing can affect your-your teeth or your gums?",better oral health,1
40,You do. you have beautiful teeth as I always tell you-,better oral health,1
41,"Um, I mean I have had some patients with oral piercings and they can erode some of the gum right, um, just right there at the front.",better oral health,1
42,"Um, so that's one-one thing, and the other is, um, I do see fair amount of chipped teeth-",better oral health,1
43,"Yeah. There's certainly been-- There's no problems and you, as you said, only have had it for a short time.",better oral health,1
44,"Um, what would- what would make you decide, ""This is something that's not right for me?""",better oral health,1
45,"Yeah, it looks nice. So, you want to monitor it and-and-",better oral health,1
46,"Emily, you said it so well it-",better oral health,1
47,"-the-the piercing might not last forever, but your teeth really are-",better oral health,1
48,"-hopefully forever. So, okay, well thanks for-for talking about it-",better oral health,1
49,"-with me, and also before I do the exam, you know, I'm always on your case about flossing, so maybe we can take [inaudible 00:02:46]-",better oral health,1
50,"Hi, Sal. Thanks for coming in today.",asthma management,1
51,"I saw that your doctor made the referral and, um, and I really appreciate you taking the time to come and make that appointment.",asthma management,1
52,So you made it in here-,asthma management,1
53,- and do you have a sense of-of what some of the doctor's concerns were that led her to refer you?,asthma management,1
54,"So your asthma has been acting up and there's a lot of stuff, not just the asthma going on?",asthma management,1
55,"Well, we have about, I guess, 15 or 20 minutes together and I wonder, would it be okay, if we took a couple of minutes and just kind of looked at all of the different things that are going on for you and maybe you can let me know, what would be the most helpful to spend-spend some time on?",asthma management,1
56,"Okay. Well, one of the things that-that we use are these-- it's kind of like a worksheet and it's an agenda-setting worksheet basically.",asthma management,1
57,"It really-- You're in the driver's seat, so it's just to kind of put all the cards on the table, so to speak.",asthma management,1
58,"So your dog, and-and the doctor's saying the dog's—",asthma management,1
59,That's pretty shocking to be told that you have to get rid of your dog.,asthma management,1
60,Hmm. So that's a huge stress right now?,asthma management,1
61,"Okay, so smoking and-and I'm working towards quitting completely sounds like that's a goal for you?",asthma management,1
62,"Right. Right, right. So the appointments and time.",asthma management,1
63,"Right. Well, so where would you-- I mean, if you-you had to pick somewhere, one or two kind of high priorities or-or things to talk about in our time this morning, where would you wanna start?",asthma management,1
64,"Okay, and those are ones that are pretty related to each other-",asthma management,1
65,So I know we've determined that you sprained your ankle yesterday and I'm wondering if you can tell me a little bit about how that happened?,reducing alcohol consumption,1
66,"No, I guess that that would be the end of your, uh, shaking and moving. I know-- I wonder if you'd be open to exploring your alcohol use and what that looks like during the week.",reducing alcohol consumption,1
67,You're still feeling the effects of-,reducing alcohol consumption,1
68,So what is a typical week for you as far as your alcohol use?,reducing alcohol consumption,1
69,So a few drinks is nothing new to you?,reducing alcohol consumption,1
70,And what does a few drinks look like? Is that per night? Is it two drinks?,reducing alcohol consumption,1
71,All right. Do you have any concerns at all about your alcohol use?,reducing alcohol consumption,1
72,Would you be open to kind of looking at the low-risk drinking alcohol guidelines?,reducing alcohol consumption,1
73,"-and what the safe limits are for women is 10 drinks for women a week with about two drinks, uh, per day.",reducing alcohol consumption,1
74,Where do you- where do you feel you fall into that?,reducing alcohol consumption,1
75,"Okay, so it's kind of a way to cope through stress?",reducing alcohol consumption,1
76,"Right, and is that something that has been, you know, a way of coping for a while?",reducing alcohol consumption,1
77,Okay. Does that concern you at all?,reducing alcohol consumption,1
78,Do you feel like you have any reasons to kind of bring your alcohol use down within the limits?,reducing alcohol consumption,1
79,"I'd love to, uh, set up an appointment for you if you can come in later this week or early next week to-",reducing alcohol consumption,1
80,#NAME?,reducing alcohol consumption,1
81,"So, what brings you here, Bob? What's, what can I do to help?",smoking cessation ,1
82,"So, let me ask you this, Bob, what are some of your wife's concerns about your smoking?",smoking cessation ,1
83,"Wow, that she's been showing you and making you read.",smoking cessation ,1
84,"So, you're pretty angry about it. It's pretty outraging that you're forced to change your whole life because of a decision she made six months ago.",smoking cessation ,1
85,"So, from your perspective, do you see any consequences to your smoking?",smoking cessation ,1
86,"So, let me make sure I understand kind of the whole scenario 'cause there's a lot of pieces to it. Your wife is on your case and your kids are ganging up too. So, you're sort of isolated, you're put in a corner and you're being told this is something you have to do, you have no choice in the matter.",smoking cessation ,1
87,"You have a few concerns about your health, but that's not really the driving force. It sounds like it's most of all that it would be nice if things just went back to the way they were before she quit smoking and that all of this stuff wasn't something that you had to deal with anymore. Does that pretty much sum up--?",smoking cessation ,1
88,I get the feeling that your relationship is really important to you. That you would do anything.,smoking cessation ,1
89,"So, it strikes me that the way that we're talking about it, it's like it's all or nothing. Either you keep smoking the way you are, things continue to go downhill and get worse, your wife gets more and more on your case, or you put your cigarettes down starting the moment you walk in the door tonight and never pick them up again. It's almost like one or the other. It strikes me that as well there might be some middle ground here that it took you a long time to learn how to be a smoker and maybe it's going to take some time to learn how to stop smoking.",smoking cessation ,1
90,There are some medications and some different approaches that we can use that aren't so abrupt. Recognizing that it-it's going to take some time and practice to get to where you might want to be.,smoking cessation ,1
91,"If you wanted to bring your wife along, I'd be more than happy to talk with both of you.",smoking cessation ,1
92,"So now that we've discussed a little bit of your medical history and- and taking your vitals, I'd like to ask you a few more questions. The-",reducing alcohol consumption,0
93,"-the rise in your blood pressure is concerning to me, so I'd like to gather a bit more information about your lifestyle.",reducing alcohol consumption,0
94,Okay. Have you had any major stressful events recently or any change in your work situation?,reducing alcohol consumption,0
95,"Yeah, that's certainly true. I'd also like to ask about some health habits that can contribute to high blood pressure.",reducing alcohol consumption,0
96,"Okay, do you smoke at all?",reducing alcohol consumption,0
97,"Okay, great. Um, do you drink alcohol, including beer or wine?",reducing alcohol consumption,0
98,"Okay. Well, I'm concerned about the amount that you're drinking currently. It sounds like you're having about 15 to 20 drinks per week, and that's definitely more than what we would recommend and could certainly be contributing to your high blood pressure.",reducing alcohol consumption,0
99,"Well, according to your chart, your blood pressure has gone up since July, and you said that you've been drinking more recently, so do you see the connection there?",reducing alcohol consumption,0
100,"Alcohol can have some dangerous effects on your body. So along with contributing to high blood pressure, it can have a big impact on your liver, which you need to keep in mind. So your liver has several different roles in your body. First, it helps process excess fatty acids before they get distributed to the rest of your body. It also helps process alcohol and other drugs. So when you have an excess of alcohol, your liver can't work as efficiently and the fatty acids build up, and over time, your liver won't be able to work as well.",reducing alcohol consumption,0
101,"Okay. And how about the use of other drugs like cocaine, heroin, marijuana?",reducing alcohol consumption,0
102,"Okay. And then we'll set up an appointment for about a month from now. We'll recheck your blood pressure and see how you're doing with all this, sound okay?",reducing alcohol consumption,0
103,"Okay. Um, what brings you in?",diabetes management,0
104,Mm-hmm. I see- I see that your A1C or your blood glucose is very high.,diabetes management,0
105,"Mm-hmm. Well, you do need to take your medicine. We, uh, will need to start dieting, uh, you know, lose some weight, change-change your eating habits, exercise, uh, to get your diabetes under control, because your doctor is right, it is very serious.",diabetes management,0
106,"So, uh, you know, we-we need to start looking at doing all those different things to get your diabetes under control 'cause your-your number is very high.",diabetes management,0
107,Okay. So about how much are you smoking over the course of a day? You had said it had increased over once or twice a day.,smoking cessation ,1
108,"Okay. So about eight cigarettes. So over the course of a day, just under half a pack?",smoking cessation ,1
109,Okay. And that's changed over what period of time?,smoking cessation ,1
110,"Okay. So over the past year, the smoking has increased. And that's been mainly in the evening?",smoking cessation ,1
111,"Mm-hmm. Well, that's the time when you can relax and unwind.",smoking cessation ,1
112,"Yeah, exactly. You know, I told you, my-my schedule is kinda crazy right now. I, um, I work full-time and I just started back at night classes. So, you know, all that combined, you know, I enjoy that time to myself in the evening.",smoking cessation ,1
113,"Sure. Sure. Well, it's a time to relax and you've got a lot going on.",smoking cessation ,1
114,So are there other things you do in the evening to relax?,smoking cessation ,1
115,Okay. A drink or two. So about how many drinks would you say you have over the course of a day?,smoking cessation ,1
116,Two max. How many drinks would you say you'd have over the course of a week?,smoking cessation ,1
117,"No, I understand- I understand. And I'm certainly not here to tell you what to-to do, Sarah. I'm interested in hearing your thoughts and sharing some information with you, and what you do with that information is totally up to you. You've got a lot going on. You're a mother, you're working, you're going to school, and our healthcare team wants to make sure that you have all the resources available to you to meet your goals, including good health. And my job as your healthcare provider is to listen to you and to share information with you, including healthcare concerns associated with smoking and alcohol. Would that be okay with you?",smoking cessation ,1
118,#NAME?,smoking cessation ,1
119,So you're consciously trying to cut back.,smoking cessation ,1
120,About a five. So you're halfway there. So why did you choose a five rather than a four?,smoking cessation ,1
121,"Okay. So you-- that's cutting back quite a bit. That's a big step. So since we're kind of running out of time here today, I'm wondering if we could-- would be willing to come back in about four weeks to review this plan?",smoking cessation ,1
122,"Okay. Well, I've got a brochure here and this has-- it's a really good brochure. It has some distraction techniques in it in case you get those nicotine cravings. So it's-",smoking cessation ,1
123,"-been helpful, um, in-- with patients before. I'd also like to ask you, would you be willing to see one of our counselors?",smoking cessation ,1
124,"Well, Dr. Kirtley is one of our counselors and he is an expert in-- at discussing the association between alcohol and stress. I want to share something with you. The National Guidelines recommend that women have no more than seven drinks of alcohol per week to-to stay at that low risk level, to avoid the healthcare concerns that we spoke of earlier.",smoking cessation ,1
125,"You've indicated that your alcohol consumption is a bit higher than that, putting you at risk. So that's why I asked if you'd be willing to talk to Dr. Kirtley.",smoking cessation ,1
126,"Hi, Mrs. Smith. I wanted to let you know that at this appointment, we're gonna be giving Lilly some vaccines.",taking medicine / following medical procedure,1
127,Hmm. Can you tell me more about your concerns about vaccines?,taking medicine / following medical procedure,1
128,"Okay, so you were thinking that maybe exposing Lily naturally to these diseases would be a better choice than using vaccines to help her get stronger?",taking medicine / following medical procedure,1
129,"That's right. Having chickenpox as a child means that you are less likely to have chickenpox as an adult because you've developed a-a natural immunity. Uh, but is it okay if I offer you a little bit more information about the other vaccines that we're- we were going to give her Lily today?",taking medicine / following medical procedure,1
130,"Okay. So, uh, before vaccines were developed, often when children had a natural exposure to some of these diseases, they ended up with, uh, sometimes death, disability, measles caused brain damage and, uh, deafness and blindness. Polio caused, uh, paralysis in children. And so, allowing children to have natural exposure to these diseases, sometimes was a little bit of a gamble, it could be dangerous.",taking medicine / following medical procedure,1
131,It's really important for you to make sure that she's protected and that you make good decisions and do your research before you make any medical decisions for her.,taking medicine / following medical procedure,1
132,"We don't really recommend that. The idea is you would use the nicotine replacement to actually quit, so then you wouldn't be smoking at work, but you also wouldn't be smoking the rest of the time either.",smoking cessation ,0
133,"Well, to be honest with you, you mentioned the patch. I can't recommend a patch to you if you're gonna continue smoking. That can actually be pretty dangerous for you. In order to advise you about this at all, I need you to tell me a little bit more about your smoking history and how much you're smoking now.",smoking cessation ,0
134,"Well, there are some products that you could use to take away some of your cravings, and probably the gum would be the best option for you. It's not something you would continue to use continuously throughout the day, however, but gum is something you use just when you have a craving.",smoking cessation ,0
135,"Well, aside from the gum, you could try the nicotine lozenge, that would be another option for you. Again, that's not something you'd wanna use continuously throughout the day. The nicotine patch is the best for continuous nicotine replacement, but again, that's not something you can use while you're continuing to smoke.",smoking cessation ,0
136,"So, Rick, just in regards to your flatmate situation at the moment with Tristan. Uh, you know, we talked about how walking through this program and with the support of your parents and having some positive influence to help you through this. I just want to rethink a bit if you stay living with Tristan. What are the sort of pros and cons of that? What are the good things about living there, what are the not-so-good things about living there?",reducing alcohol consumption,1
137,"Yeah. So, in terms of being supportive and a sort of support you're gonna need to make these changes.",reducing alcohol consumption,1
138,"Okay. What are some of the pros and cons about moving in with whāna, moving in with your auntie and uncle?",reducing alcohol consumption,1
139,"In terms of that freedom and in charge of yourself, and the changes that we're talking about, and building your own family, and to enable you to do that, where do some of that freedom stuff sit with re-engaging back with your whānau and your children, your partner? Is it something you're gonna wanna hang on to, or how you're going to manage that?",reducing alcohol consumption,1
140,"Okay, so I'm just gonna ask you a couple of more background questions.",reducing alcohol consumption,0
141,Okay. How about in the last year?,reducing alcohol consumption,0
142,"Okay. So it sounds like you're drinking about four times a week, anywhere between three and eight drinks on a given day. So, maybe around 20 drinks a week?",reducing alcohol consumption,0
143,"Do you, um, do you ever use any prescription medicines that were not prescribed for you, or ever use your own prescriptions in a way on which they were not prescribed?",reducing alcohol consumption,0
144,"Okay. So, you know, as we said before, you're drinking-- it sounds like you're drinking about 20 drinks a week, over the course of a few days. And I did want to point out to you that the recommended limit for women is actually no more than seven drinks a week, and no more than three on a given day.",reducing alcohol consumption,0
145,"So you're doing more than that right now. And when you drink more than this amount, it puts you at risk for a number of things, okay? Things like greater risk of injury, damage to different parts of your body, um, just a bunch of different problems. And, uh-- so I'm going to recommend that you cut down- cut down that amount to the recommended limit. Again, that's no more than seven drinks a week and no more than three on a given day. Do you think you could do that? Would that be a good goal for you?",reducing alcohol consumption,0
146,"Yeah. Well, it's possible you strained your ankle as a result of the alcohol. You know, it can actually affect your balance and stability. So, really, you know, for where you are right now, you're drinking a good amount more than what's recommended. And, you know, I want you to be healthy. And I don't want to see you coming back in here for something else. So I'm really gonna recommend that you try to cut down to that amount. So, do you think you could do that, cut down to no more than three drinks on a given day?",reducing alcohol consumption,0
147,"So, it sounds like, you know, the amount you drink is pretty normal-",reducing alcohol consumption,0
148,"-amongst the people you typically drink with. But these limits are-- they're actually recommended for all adults. And studies have shown that when you drink more than this, it creates a bunch of problems like we talked about. So, you know, why do you think you drink the amount you drink?",reducing alcohol consumption,0
149,"Well, I think you can still have fun within these amounts. So that's what I'm gonna recommend. Um, I think this is a really good goal, and hopefully, we won't see any more injuries. Okay? So why don't you try that?",reducing alcohol consumption,0
150,All right. Thank you so much.,reducing alcohol consumption,0
151,So I wrote a prescription for antibiotics for Aiden.,smoking cessation ,1
152,"Um, I did wanna talk to you though. I'm a little bit concerned looking through his chart of how many ear infections he's had recently. And I-I noticed that you had checked the box that someone's smoking in the home. So I was wondering if you can tell me a little more about that.",smoking cessation ,1
153,You have a lot of things going on and smoking's kind of a way to relax and destress.,smoking cessation ,1
154,Sure. And it sounds like you're trying not to smoke around him. Why did you make that decision?,smoking cessation ,1
155,"So on the one hand, you're worried about how your smoking might be affecting him and on the other hand, you're not so sure if it's really the smoking that's causing these problems?",smoking cessation ,1
156,What made you decide to quit smoking when you were pregnant?,smoking cessation ,1
157,"Right now, though, it feels almost too difficult to even manage or even to try?",smoking cessation ,1
158,How were you successful when you quit before?,smoking cessation ,1
159,Mm-hmm. The risks were so scary then that you were able to stop?,smoking cessation ,1
160,But they don't feel as scary to you now?,smoking cessation ,1
161,You're doing the best you can do.,smoking cessation ,1
162,Okay. But it sounds to me too like part of you really does want to quit?,smoking cessation ,1
163,It's on your to-do list. It's just not making it to the top?,smoking cessation ,1
164,"If you did decide to quit on a scale of 1 to 10, where 1 is not at all confident, and you don't think you could do it and 10 is you feel pretty certain that you could, where do you think you fall right now?",smoking cessation ,1
165,"Well, what made you say five rather than two or three?",smoking cessation ,1
166,Where do you think we should go from here?,smoking cessation ,1
167,"Sure. Well, if you'd be interested, that's something I can definitely talk to you about. There are a lot of new options that can actually help people be way more successful in their attempt at quitting. There's different medications you can try.",smoking cessation ,1
168,"Okay. There's also a lot of support groups and classes that you can take where you have other people to go through it with you. And sometimes just having that support can be a big part of it, especially for people like you where smoking is such a stress reliever.",smoking cessation ,1
169,Sure. It feels like something that would take up a lot of time and maybe not fit into your life. I wonder if we could talk about some options that might fit into your life.,smoking cessation ,1
170,"Okay. Well, if you're willing, then we could set up another appointment where you could come in and we could talk more about that.",smoking cessation ,1
171,"Thanks for coming in. Um, so, I'm not sure how much you know already about sort of what you're doing here. If it's okay, I'll give you a little rundown.",reducing alcohol consumption,1
172,"So, basically, we're here, I'm just gonna talk to you for a little bit about sort of what your goals are for your life, um, get to know you a little bit better and talk about some different behaviors that you might be engaging in. It's not my job at all to judge you or to try and change you, you know. Basically, I'm gonna talk to you about how things are going, any changes you might want to make in your life, how I could help you with that, and just what I can do that's going to be most beneficial for you.",reducing alcohol consumption,1
173,"All right, so, I guess just to get started, can you tell me a little bit about yourself?",reducing alcohol consumption,1
174,"Okay. And, what kinds of things do you plan for your life?",reducing alcohol consumption,1
175,Do you have a plan as to where you might want to go or?,reducing alcohol consumption,1
176,"Great. And, do you have an idea about what you might want to study or?",reducing alcohol consumption,1
177,"All right, cool. Uh, what do you like to do for fun?",reducing alcohol consumption,1
178,You like to have a good time?,reducing alcohol consumption,1
179,"And, you have a lot of friends or a few close people, or?",reducing alcohol consumption,1
180,"That's a good way to be, right?",reducing alcohol consumption,1
181,What's important to you about your family?,reducing alcohol consumption,1
182,Okay. Do you have brothers or sisters?,reducing alcohol consumption,1
183,"Okay, great. And, how about friendship?",reducing alcohol consumption,1
184,#NAME?,reducing alcohol consumption,1
185,Yeah. Wanting to be part of a group-,reducing alcohol consumption,1
186,"-and kinda. Okay, great. All right, well, one of the things I wanna talk about is, you know, um, you mentioned that you'd like to go out with friends and-and party, and that sort of a thing. And, I'm curious, when you're out in the parties, do you ever have any alcohol?",reducing alcohol consumption,1
187,"Okay, you're kinda getting pressure from other people who are drinking, and it feels easier for you to-",reducing alcohol consumption,1
188,"And, do you think that, um, this is most weekends or occasionally? How-",reducing alcohol consumption,1
189,#NAME?,reducing alcohol consumption,1
190,"So, one or two weekends a month you're in a situation where there is alcohol?",reducing alcohol consumption,1
191,Okay. And what sort of situations are you in?,reducing alcohol consumption,1
192,"So, mainly, just kinda hanging out with friends.",reducing alcohol consumption,1
193,"Are you ever, um, places where there are parents around or-",reducing alcohol consumption,1
194,#NAME?,reducing alcohol consumption,1
195,Yeah. Do you ever go anywhere in a car after you've had any alcohol?,reducing alcohol consumption,1
196,"Okay. So, that's something that you've sort of made a decision about. It sound like you—",reducing alcohol consumption,1
197,Okay. What do you know about how that's dangerous?,reducing alcohol consumption,1
198,"So, you're really are trying to be safe and-and make sure that-",reducing alcohol consumption,1
199,"So, you mentioned, you pretty much will like hold a drink or maybe have a drink or two. What do you thinks is the most alcohol you've ever had in-in one day?",reducing alcohol consumption,1
200,#NAME?,reducing alcohol consumption,1
201,"So, it just kind of makes you feel relaxed or?",reducing alcohol consumption,1
202,-and decided that's not for you?,reducing alcohol consumption,1
203,"Got it. I-I can understand that. [chuckles] Uh, any other things that you can think of?",reducing alcohol consumption,1
204,"Okay. Well, so, you know, as someone who's not 21 yet, it is-- Underage drinking is something that's not legal-",reducing alcohol consumption,1
205,#NAME?,reducing alcohol consumption,1
206,"Uh-huh. So, it's kind of something that you're—",reducing alcohol consumption,1
207,"It's just there? Okay. And, I'm curious, you mentioned, you know, your friends are important to you, and your family's important to you, and, sort of fitting in is important to you. How does alcohol play a role with that?",reducing alcohol consumption,1
208,"Okay. So, from your family perspective, the drinking is not something that fits very well?",reducing alcohol consumption,1
209,"And with friends, you feel like it's easier to-to hang out with alcohol, or maybe you wouldn't have as much fun, or your friends wouldn't like you as much or?",reducing alcohol consumption,1
210,"Okay. Well, when you think about your drinking and, sort of, looking forward in 5 years or 10 years, how do you think that drinking might fit in with your life?",reducing alcohol consumption,1
211,Okay. Can you expand on that a little bit more? What do you mean?,reducing alcohol consumption,1
212,"Okay, so, the-the alcohol is something that might make it harder to reach your goals?",reducing alcohol consumption,1
213,"Yeah, so, you don't feel the need to make any major changes, but you feel like you could make some adjustments that would make it easier or—",reducing alcohol consumption,1
214,And why did you say five or six rather than like two or three?,reducing alcohol consumption,1
215,"Okay. So, it is something you have thought about or something.",reducing alcohol consumption,1
216,"So, what number do you think you'd say?",reducing alcohol consumption,1
217,"Okay. All right. Well, kind of keeping that in mind, it sounds like, um, you do have sort of a-a vague plan to make some adjustments in your drinking at some point-",reducing alcohol consumption,1
218,"-and, it's moderately important to you. It's something you would like to do because you have these big goals for yourself, and you actually feel very confident that you could be successful with it. What sort of goal do you think might be good to set for today?",reducing alcohol consumption,1
219,"Okay. Um, do you feel pretty confident that you could just stop completely?",reducing alcohol consumption,1
220,What-what might be some benefits of following through with that goal?,reducing alcohol consumption,1
221,"Okay. So, it's-- It sounds like you're actually pretty comfortable with setting a goal of not drinking anymore a-at least at the next part? and seeing how it goes.",reducing alcohol consumption,1
222,Okay. Do you think it would be all right if we met again to kinda check in on how it goes and-and see if it's working out for you?,reducing alcohol consumption,1
223,"All right, great. And then, i-it sounds like some of the benefits you're expecting are, um, health benefits-",reducing alcohol consumption,1
224,#NAME?,reducing alcohol consumption,1
225,"Okay. Well, very good. Um, is there anything else that you think would be important for me to know?",reducing alcohol consumption,1
226,"Oh, that's a great question. So, a lot of times, kids who are trying to cut back, it's harder if their friends are still drinking, and one of the easiest things is trying to have more activities that don't involve alcohol, but-",reducing alcohol consumption,1
227,"-of course, that's harder if you're not the one planning. So, some of the things that can be useful if you're at a party say, um, and there's already alcohol there, and there are other kids that maybe aren't your closest friends, um, some of the things that I would recommend since you're interested are, you know, carrying around a different drink that looks like it has alcohol in it. So, you know, even carrying an empty beer bottle or beer can or, you know, if people are having a mixed drink, just having the coke, say-",reducing alcohol consumption,1
228,"-without any alcohol mixed into it. Um, often, having anything in your hand is a good barrier for people who are trying to offer you alcohol, because you already have something in your hand-",reducing alcohol consumption,1
229,#NAME?,reducing alcohol consumption,1
230,"Okay. What about in terms of talking to your friends about it, have you thought about how you might approach with them or is that something else you'd like some tips about, about telling them about your plan to-",reducing alcohol consumption,1
231,Your friends would be pretty comfortable with that?,reducing alcohol consumption,1
232,"Okay, great. Any other concerns or questions? Anything else I can help with?",reducing alcohol consumption,1
233,"Okay. So then, like I said, um, I'll try and see if we can meet up maybe in a few weeks and see how it's going-",reducing alcohol consumption,1
234,#NAME?,reducing alcohol consumption,1
235,"So your workplaces went smoke-free and you're not too pleased, huh?",smoking cessation ,1
236,Okay. Tell me a little bit about how smoking fits in your day. It'll help with the—,smoking cessation ,1
237,"Okay. So you feel like, right now, smoking's a pretty important part of your life. It's not something you're ready to change, but if the time came when you did decide to quit, you feel pretty confident that you could go ahead and do that.",smoking cessation ,1
238,Okay. What makes you so confident?,smoking cessation ,1
239,"Mm-hmm. And so in terms of, uh, uh, readiness to actually go ahead and make a quit attempt, where do you think you fall on the scale of 1 to 10, where one is, I'm not considering it at all, and 10 is, I'm definitely ready, I wanna quit.",smoking cessation ,1
240,Okay. What made you say two instead of one?,smoking cessation ,1
241,"Well, there are a lot of products available now that can actually help you curb that urge to smoke. We have products that can help to replace nicotine, which can help to decrease withdrawal symptoms that you might experience when quitting or cutting down and also some medications that your doctor could prescribe for you that might take away even some of the desire to smoke.",smoking cessation ,1
242,"Okay. Well, it sounds like you're really here just for information today. I'm happy to help you pick out some of these products if and when you decide that the time is right for you.",smoking cessation ,1
243,"All right. yeah, I was told that you're phone calls was taken away",compliance with rules,1
244,"Okay. yeah, it was weird when I, uh, got that report because for the most part since you've been here, uh, you'd been like, uh, model-model resident, uh, always making their bed, uh, been pretty, uh, respectful of the staff, of all the other residents. So, uh, is it something to do with you getting out in three weeks? It must be pretty hard.",compliance with rules,1
245,"Mm-hmm. Yeah, you used to have contact with your mom, you know, almost every other night and now for just about a week, you haven't even gotten to talk to her. I can imagine that being pretty difficult. I remember you saying something about like your dad's birthday coming up?",compliance with rules,1
246,"Like I said, it's been, um, a long time and this is basically the first time that we've seen this behavior from you, so I know for a lot of other guys right before they get out, uh, a lot of anxiety, a lot of frustration comes around because they haven't been out in a while and then like the pressures of being on the outside are starting to settle in. So is that something might be going on with you?",compliance with rules,1
247,"I understand that your asthma symptoms have been just really out of control. So, we need to look at some of the ways that you can get healthy and not be back here again.",asthma management,0
248,"Well, you sound a bit surprised by that. But I'm sure that you've seen some of the material that-that the clinic gave you about asthma symptoms and managing your asthma, and pets are a really big source of problems in that respect.",asthma management,0
249,"Well, uh, wait a second, Sal, what do you mean you-you- ha- If you-- As in-- You know to be informed about-- I'm just really taken aback by that because I understand from your chart that you have a young baby-",asthma management,0
