Sr. No,utterance_text,mi_quality,topic
30,"Well, uh, we know if someone binge drinks over time, there's kind of two categories of risk. There's the short-term risk where someone who binge drinks is more likely to fall down, hurt themselves through an accident, uh, they're more likely to drive while under the influence. Uh, but over the long term, binge drinking can also, uh, cause things like heart disease, uh, different kinds of cancer, liver problems obviously, and then even mental health issues like depression and anxiety are more likely to happen.",1,reducing alcohol consumption
31,"Can I ask you, uh, what do you like about drinking alcohol?",1,reducing alcohol consumption
32,And so what about your drinking do you not like or is there anything that worries you about your drinking?,1,reducing alcohol consumption
33,"So, on one hand, you like how beer tastes, uh, it's part of your social life to some extent, um, but on the other hand, you don't like the idea of it posing risks to your health over the long term?",1,reducing alcohol consumption
34,"So weighing those things, you know, what you like about your drinking, what you don't like about your drinking, uh, where do you wanna go from here? Uh, what would you like to change about your drinking?",1,reducing alcohol consumption
35,"Well, how about hypothetically if I were to ask you, how would your drinking have to impact your life in order for you to be ready to change your drinking?",1,reducing alcohol consumption
36,"Okay, great. See you next time.",1,reducing alcohol consumption
37,"Hi, John. Nice to see you again. So, tell me, how are things going?",1,weight loss; diet
38,"Well, I appreciate you bringing your weight to the forefront. Do you mind if we explore this issue further?",1,weight loss; diet
39,"All right. Uh, well, it sounds like you've been struggling with your weight recently. And I understand how difficult it is to lose the weight and then have it come back again. So, tell me what you did to lose that initial 5 pounds.",1,weight loss; diet
40,But you did have some success. Tell me how you felt when you lost the weight.,1,weight loss; diet
41,"Okay. Well, it sounds like you realized that when you lost the weight you feel better and that it's gonna affect your overall health. So, tell me what you think changed that caused you to gain the weight back.",1,weight loss; diet
42,And how many servings of fruits and vegetables on average per day would you have?,1,weight loss; diet
43,"John, it's very important that you recognize that some fruits, but especially fruit juice can contain a huge amount of calories. Did you know that a glass of orange juice has almost as many calories as a can of cola?",1,weight loss; diet
44,"You're absolutely right, but keep in mind that the food pyramid is to be used as a guideline only. When it comes to nutrition, we have to have a more personalized approach. So I have a hunch, and that is the excess fruit that you were consuming probably caused your weight rebound. What's your impression?",1,weight loss; diet
45,"Indeed. Let me ask you something, knowing what you know now, how important is it to you to lose the weight by decreasing the amount of juice that you're currently taking in?",1,weight loss; diet
46,"All right. So, you're not a zero. So, that tells me that you've got some confidence that this is doable, this is something you certainly can do it. Why are you not a zero?",1,weight loss; diet
47,"So, you realize, again, that if you decrease the amount of juice you're taking in, you're gonna decrease your weight, you're gonna feel better, and you're gonna impact your po- health positively?",1,weight loss; diet
48,"But you're also not a 10, and that tells me that there may be some obstacles to your success. What would it take for you to be a 10 or even an 8 or 9?",1,weight loss; diet
49,"Okay. Now, if the juice was still there, can you think of anything else you could do?",1,weight loss; diet
50,"Excellent. John, I get the impression that you want to stay in course with weight reduction. And the best way to do this will be to decrease the amount of juice that you're currently taking in. So if I saw you in two weeks and I asked you how much juice you're t- drinking and how you did it, what would you tell me?",1,weight loss; diet
51,"Excellent. Well, it sounds like you have a plan. Same scale, 0 to 10, how confident are you that you can, uh, make this happen?",1,weight loss; diet
52,Excellent. I'll see you in two weeks.,1,weight loss; diet
53,"Okay, and so what I'm hearing is that you don't feel like your health is concerning you right now, or anything like that?",1,problem recognition
54,Okay. Okay. And how about going to see the doctor? Have you gone to-- for a visit or anything recently?,1,problem recognition
55,Okay. But you feel that you feel good?,1,problem recognition
56,"Okay. Um, and so what I hear is that you're-- you feel like your wife might be, uh, overreacting to this?",1,problem recognition
57,"Sure. Sure. Okay. Um, and so one thing I'd just like to do is maybe give you some information on, um, maybe obesity or diabetes if you're interested or open to that. If you're, you know--?",1,problem recognition
58,You got your lip pierced. How long ago did you get that done?,1,better oral health
59,What made you decide to get-get a lip piercing?,1,better oral health
60,"Um, I guess, you know, as your dentist, I have- I have a couple of concerns about lip piercings, oral piercings. I wonder what have you heard about how having an oral piercing can affect your-your teeth or your gums?",1,better oral health
61,You do. you have beautiful teeth as I always tell you-,1,better oral health
62,"Um, I mean I have had some patients with oral piercings and they can erode some of the gum right, um, just right there at the front.",1,better oral health
63,"Um, so that's one-one thing, and the other is, um, I do see fair amount of chipped teeth-",1,better oral health
64,"Yeah. There's certainly been-- There's no problems and you, as you said, only have had it for a short time.",1,better oral health
65,"Um, what would- what would make you decide, ""This is something that's not right for me?""",1,better oral health
66,"Yeah, it looks nice. So, you want to monitor it and-and-",1,better oral health
67,"Emily, you said it so well it-",1,better oral health
68,"-the-the piercing might not last forever, but your teeth really are-",1,better oral health
69,"-hopefully forever. So, okay, well thanks for-for talking about it-",1,better oral health
70,"-with me, and also before I do the exam, you know, I'm always on your case about flossing, so maybe we can take [inaudible 00:02:46]-",1,better oral health
71,"Hi, another session and another session where you are actually on time.",1,reducing recidivism
72,"You've done-- You've got a really good track record of, uh, being on time. Yeah? Do you realize that?",1,reducing recidivism
73,"Yeah. Yeah. You know, I've been thinking about, um, thinking about you, and thinking about, um, that first meeting we had, and where you are now. So, wh-what do you think some of the changes are that-that you've made in this- in this, sort of, five-five to six weeks that we've been meeting?",1,reducing recidivism
74,"Yeah? So, what sort of things has it helped with?",1,reducing recidivism
75,"Mm-hmm. So, what changes have you made, Billy?",1,reducing recidivism
76,"Yeah. And, get-getting to the polytech and getting the forms, that's a pretty big deal.",1,reducing recidivism
77,"Yeah? I was thinking about the Billy, say, the Billy of six months ago. I'm wondering if the Billy of six months ago would've done that?",1,reducing recidivism
78,"Mm-hmm. So, what shifted that made it that you were actually able to go to the polytech and get the forms? What's shifted in you?",1,reducing recidivism
79,"Yeah. Where have you got to with the forms? I mean, we talked about that quite a lot last time.",1,reducing recidivism
80,"Okay. So, what did you say to Donna?",1,reducing recidivism
81,"Okay. So, where did you get to in terms of telling her that, uh, reading and writing is not that [unintelligible 00:27:23] for you?",1,reducing recidivism
82,"So, I was thinking about how that stuff about not feeling confident around reading and writing has, um, really got in the way for you.",1,reducing recidivism
83,"And I mentioned that's somewhere where you don't feel so confident, and I'm wondering what it would be like to feel confident with reading and writing. What difference would that make to your life?",1,reducing recidivism
84,"Yeah. Yeah, I can really see that you're making an effort. In fact, I can see that you're really making an effort in lots of areas, not just in terms of reading and writing.",1,reducing recidivism
85,"So, where are the forms now?",1,reducing recidivism
86,"So, what needs to happen next?",1,reducing recidivism
87,"So, you actually have to deliver them to the polytech, do you?",1,reducing recidivism
88,"Mm-hmm. So, when do you think you're gonna do that?",1,reducing recidivism
89,"Mm-hmm. So, by the end of this week, so by next time, when you come here, as in, those forms will be at the polytech?",1,reducing recidivism
90,And what-what happens next in terms of what happens once the forms are there?,1,reducing recidivism
91,"Mm-hmm. So what's the- what's the-- Say, if you get on the course-",1,reducing recidivism
92,"-and, um, you're, like, real good with, uh, hands-on stuff, but the stuff around the manuals, and the assignments, and those sorts of things, um, don't feel so good. What-what do you think we need to do around helping you with that?",1,reducing recidivism
93,"So, all these changes that you've- that you've made, um, Billy, where-where is the offending fitting into all of that now?",1,reducing recidivism
94,"So, offending gets in the way of the life that you're starting to lead?",1,reducing recidivism
95,"Yeah? So, what temptations have you had to, kind of, go back to offending?",1,reducing recidivism
96,"So you've noticed that when you've been drinking that those feelings are coming back again, or?",1,reducing recidivism
97,It's harder to think straight when you've been drinking?,1,reducing recidivism
98,Yeah. Yeah. And so you've got Donna around at the moment?,1,reducing recidivism
99,"And that's helping keep you in check, as you said?",1,reducing recidivism
100,Yeah. What would happen if she wasn't around say or at a party or?,1,reducing recidivism
101,Okay. So Donna at the moment who kind of being there is like a strength?,1,reducing recidivism
102,Mm. Yeah. 'Cause I was thinking about that dream that you've got about the job and a life with Donna and-,1,reducing recidivism
103,-kids and stuff like that and how you were saying that the offending doesn't fit in with that dream or that idea.,1,reducing recidivism
104,"So there's that on the one hand, but on the other hand, there's the kind of immediate, um, feeling when you've had a few to drink and you're with your mates and it feels like it would be a bit of a laugh?",1,reducing recidivism
105,So you've got-got those two things going on at the same time. Yeah?,1,reducing recidivism
106,"And it sounds like sometimes when you're in there with your mates and had a few drinks, it's hard to hold on to that vision of the future.",1,reducing recidivism
107,"Okay. So what-wh-- in the moment, what are you thinking?",1,reducing recidivism
108,Not really thinking or simply not thinking beyond the next-,1,reducing recidivism
109,Mm-hmm. So it's hard to actually say no to your friends-,1,reducing recidivism
110,-'cause of what they- what they thought of you.,1,reducing recidivism
111,"Yeah. So I'm wondering what the-the thinking, 'cause, um, one of the things that's really changed for you is being with Donna.",1,reducing recidivism
112,"So I'm wondering, you know, most of them butt-butts head on your friendships with those- with those guys.",1,reducing recidivism
113,Yeah. And you're saying you're kind of hanging out with her and going to movies and stuff? Yeah. And that means you're spending less time with your-- with those people that have actually led you in trouble in the past?,1,reducing recidivism
114,Okay. So tell me- tell me what it is that they do so I get a better understanding of it.,1,reducing recidivism
115,But we're also talking about this idea that it doesn't fit with what your goals are or what your hopes are?,1,reducing recidivism
116,Yeah. Mm. How would you like it to be?,1,reducing recidivism
117,"Mm, well the stuff about when you're in the moment. Yeah.",1,reducing recidivism
118,When you've had a few drinks and you kind of go and get into trouble. How would you like that to be different?,1,reducing recidivism
119,"Okay. So-so Donna's helped calm you down and you'd like, um, them to calm down too?",1,reducing recidivism
120,So am I hearing that it's tricky in some ways to hang out with them sometimes-,1,reducing recidivism
121,"Okay. So-so what's the definition, for you, of a good mate?",1,reducing recidivism
122,"So, someone who's loyal, someone who's got your back, yeah? What else? What else is really your definition of a really good mate?",1,reducing recidivism
123,"Oh, so, someone who'll stand up for you?",1,reducing recidivism
124,"-for you? So, I'm wondering about, um, whether good mates lead you into trouble, if it's something you wanna do. If you got something different that you wanna do, what would a good mate do in that situation?",1,reducing recidivism
125,"Yeah. How-how would you wanna be supported, Billy?",1,reducing recidivism
126,"Mm. Okay, so that's-that's the kind of support that a really good mate would give you? It sounds-",1,reducing recidivism
127,-like these guys have been around for you-,1,reducing recidivism
128,"-for quite some time, and they're really important to you.",1,reducing recidivism
129,"Yeah. Okay. So, I'm wondering how we can get to that point where, yeah, you can say, ""No, I don't wanna do that,"" and they're supportive of you?",1,reducing recidivism
130,"Okay. So, how would they know you're serious?",1,reducing recidivism
131,Okay. That's the second time you've used that word 'guilty'.,1,reducing recidivism
132,"Yeah? So, it sounds like it's a really-- something's really important to you about that.",1,reducing recidivism
133,"Okay. So, it's almost as if you feel a bit torn because you wanna be with Donna, but you also wanna be with your-",1,reducing recidivism
134,"Yeah, so they're still important to you?",1,reducing recidivism
135,Hmm. I also am hearing that you don't wanna get into trouble anymore.,1,reducing recidivism
136,"Hi, Sal. Thanks for coming in today.",1,asthma management
137,"I saw that your doctor made the referral and, um, and I really appreciate you taking the time to come and make that appointment.",1,asthma management
138,So you made it in here-,1,asthma management
139,- and do you have a sense of-of what some of the doctor's concerns were that led her to refer you?,1,asthma management
140,"So your asthma has been acting up and there's a lot of stuff, not just the asthma going on?",1,asthma management
141,"Well, we have about, I guess, 15 or 20 minutes together and I wonder, would it be okay, if we took a couple of minutes and just kind of looked at all of the different things that are going on for you and maybe you can let me know, what would be the most helpful to spend-spend some time on?",1,asthma management
142,"Okay. Well, one of the things that-that we use are these-- it's kind of like a worksheet and it's an agenda-setting worksheet basically.",1,asthma management
143,"It really-- You're in the driver's seat, so it's just to kind of put all the cards on the table, so to speak.",1,asthma management
144,"So your dog, and-and the doctor's saying the dog's—",1,asthma management
145,That's pretty shocking to be told that you have to get rid of your dog.,1,asthma management
146,Hmm. So that's a huge stress right now?,1,asthma management
147,"Okay, so smoking and-and I'm working towards quitting completely sounds like that's a goal for you?",1,asthma management
148,"Right. Right, right. So the appointments and time.",1,asthma management
149,"Right. Well, so where would you-- I mean, if you-you had to pick somewhere, one or two kind of high priorities or-or things to talk about in our time this morning, where would you wanna start?",1,asthma management
150,"Okay, and those are ones that are pretty related to each other-",1,asthma management
151,So I know we've determined that you sprained your ankle yesterday and I'm wondering if you can tell me a little bit about how that happened?,1,reducing alcohol consumption
152,"No, I guess that that would be the end of your, uh, shaking and moving. I know-- I wonder if you'd be open to exploring your alcohol use and what that looks like during the week.",1,reducing alcohol consumption
153,You're still feeling the effects of-,1,reducing alcohol consumption
154,So what is a typical week for you as far as your alcohol use?,1,reducing alcohol consumption
155,So a few drinks is nothing new to you?,1,reducing alcohol consumption
156,And what does a few drinks look like? Is that per night? Is it two drinks?,1,reducing alcohol consumption
157,All right. Do you have any concerns at all about your alcohol use?,1,reducing alcohol consumption
158,Would you be open to kind of looking at the low-risk drinking alcohol guidelines?,1,reducing alcohol consumption
159,"-and what the safe limits are for women is 10 drinks for women a week with about two drinks, uh, per day.",1,reducing alcohol consumption
160,Where do you- where do you feel you fall into that?,1,reducing alcohol consumption
161,"Okay, so it's kind of a way to cope through stress?",1,reducing alcohol consumption
162,"Right, and is that something that has been, you know, a way of coping for a while?",1,reducing alcohol consumption
163,Okay. Does that concern you at all?,1,reducing alcohol consumption
164,Do you feel like you have any reasons to kind of bring your alcohol use down within the limits?,1,reducing alcohol consumption
165,"I'd love to, uh, set up an appointment for you if you can come in later this week or early next week to-",1,reducing alcohol consumption
166,#NAME?,1,reducing alcohol consumption
167,"So, what brings you here, Bob? What's, what can I do to help?",1,smoking cessation 
168,"So, let me ask you this, Bob, what are some of your wife's concerns about your smoking?",1,smoking cessation 
169,"Wow, that she's been showing you and making you read.",1,smoking cessation 
170,"So, you're pretty angry about it. It's pretty outraging that you're forced to change your whole life because of a decision she made six months ago.",1,smoking cessation 
171,"So, from your perspective, do you see any consequences to your smoking?",1,smoking cessation 
172,"So, let me make sure I understand kind of the whole scenario 'cause there's a lot of pieces to it. Your wife is on your case and your kids are ganging up too. So, you're sort of isolated, you're put in a corner and you're being told this is something you have to do, you have no choice in the matter.",1,smoking cessation 
173,"You have a few concerns about your health, but that's not really the driving force. It sounds like it's most of all that it would be nice if things just went back to the way they were before she quit smoking and that all of this stuff wasn't something that you had to deal with anymore. Does that pretty much sum up--?",1,smoking cessation 
174,I get the feeling that your relationship is really important to you. That you would do anything.,1,smoking cessation 
175,"So, it strikes me that the way that we're talking about it, it's like it's all or nothing. Either you keep smoking the way you are, things continue to go downhill and get worse, your wife gets more and more on your case, or you put your cigarettes down starting the moment you walk in the door tonight and never pick them up again. It's almost like one or the other. It strikes me that as well there might be some middle ground here that it took you a long time to learn how to be a smoker and maybe it's going to take some time to learn how to stop smoking.",1,smoking cessation 
176,There are some medications and some different approaches that we can use that aren't so abrupt. Recognizing that it-it's going to take some time and practice to get to where you might want to be.,1,smoking cessation 
177,"If you wanted to bring your wife along, I'd be more than happy to talk with both of you.",1,smoking cessation 
178,"So now that we've discussed a little bit of your medical history and- and taking your vitals, I'd like to ask you a few more questions. The-",0,reducing alcohol consumption
179,"-the rise in your blood pressure is concerning to me, so I'd like to gather a bit more information about your lifestyle.",0,reducing alcohol consumption
180,Okay. Have you had any major stressful events recently or any change in your work situation?,0,reducing alcohol consumption
181,"Yeah, that's certainly true. I'd also like to ask about some health habits that can contribute to high blood pressure.",0,reducing alcohol consumption
182,"Okay, do you smoke at all?",0,reducing alcohol consumption
183,"Okay, great. Um, do you drink alcohol, including beer or wine?",0,reducing alcohol consumption
184,"Okay. Well, I'm concerned about the amount that you're drinking currently. It sounds like you're having about 15 to 20 drinks per week, and that's definitely more than what we would recommend and could certainly be contributing to your high blood pressure.",0,reducing alcohol consumption
185,"Well, according to your chart, your blood pressure has gone up since July, and you said that you've been drinking more recently, so do you see the connection there?",0,reducing alcohol consumption
186,"Alcohol can have some dangerous effects on your body. So along with contributing to high blood pressure, it can have a big impact on your liver, which you need to keep in mind. So your liver has several different roles in your body. First, it helps process excess fatty acids before they get distributed to the rest of your body. It also helps process alcohol and other drugs. So when you have an excess of alcohol, your liver can't work as efficiently and the fatty acids build up, and over time, your liver won't be able to work as well.",0,reducing alcohol consumption
187,"Okay. And how about the use of other drugs like cocaine, heroin, marijuana?",0,reducing alcohol consumption
188,"Okay. And then we'll set up an appointment for about a month from now. We'll recheck your blood pressure and see how you're doing with all this, sound okay?",0,reducing alcohol consumption
189,"Okay. Um, what brings you in?",0,diabetes management
190,Mm-hmm. I see- I see that your A1C or your blood glucose is very high.,0,diabetes management
191,"Mm-hmm. Well, you do need to take your medicine. We, uh, will need to start dieting, uh, you know, lose some weight, change-change your eating habits, exercise, uh, to get your diabetes under control, because your doctor is right, it is very serious.",0,diabetes management
192,"So, uh, you know, we-we need to start looking at doing all those different things to get your diabetes under control 'cause your-your number is very high.",0,diabetes management
193,Just enough for your own use?,1,reducing recidivism
194,"Yeah, we-- You know, we have about 15 to 20 minutes to talk today, total. Um-um, which certainly it's just the first of-of some sessions that we'll have together over the next six months. It'd be a natural question you'd wanna know how much time this will take, of course. Um, what else would you like me to know about you and your perspective that you think will help me work with you over this time?",1,reducing recidivism
195,Okay. You're more focused on what you need to do to get this behind you?,1,reducing recidivism
196,Okay. So about how much are you smoking over the course of a day? You had said it had increased over once or twice a day.,1,smoking cessation 
197,"Okay. So about eight cigarettes. So over the course of a day, just under half a pack?",1,smoking cessation 
198,Okay. And that's changed over what period of time?,1,smoking cessation 
199,"Okay. So over the past year, the smoking has increased. And that's been mainly in the evening?",1,smoking cessation 
200,"Mm-hmm. Well, that's the time when you can relax and unwind.",1,smoking cessation 
201,"Yeah, exactly. You know, I told you, my-my schedule is kinda crazy right now. I, um, I work full-time and I just started back at night classes. So, you know, all that combined, you know, I enjoy that time to myself in the evening.",1,smoking cessation 
202,"Sure. Sure. Well, it's a time to relax and you've got a lot going on.",1,smoking cessation 
203,So are there other things you do in the evening to relax?,1,smoking cessation 
204,Okay. A drink or two. So about how many drinks would you say you have over the course of a day?,1,smoking cessation 
205,Two max. How many drinks would you say you'd have over the course of a week?,1,smoking cessation 
206,"No, I understand- I understand. And I'm certainly not here to tell you what to-to do, Sarah. I'm interested in hearing your thoughts and sharing some information with you, and what you do with that information is totally up to you. You've got a lot going on. You're a mother, you're working, you're going to school, and our healthcare team wants to make sure that you have all the resources available to you to meet your goals, including good health. And my job as your healthcare provider is to listen to you and to share information with you, including healthcare concerns associated with smoking and alcohol. Would that be okay with you?",1,smoking cessation 
207,#NAME?,1,smoking cessation 
208,So you're consciously trying to cut back.,1,smoking cessation 
209,About a five. So you're halfway there. So why did you choose a five rather than a four?,1,smoking cessation 
210,"Okay. So you-- that's cutting back quite a bit. That's a big step. So since we're kind of running out of time here today, I'm wondering if we could-- would be willing to come back in about four weeks to review this plan?",1,smoking cessation 
211,"Okay. Well, I've got a brochure here and this has-- it's a really good brochure. It has some distraction techniques in it in case you get those nicotine cravings. So it's-",1,smoking cessation 
212,"-been helpful, um, in-- with patients before. I'd also like to ask you, would you be willing to see one of our counselors?",1,smoking cessation 
213,"Well, Dr. Kirtley is one of our counselors and he is an expert in-- at discussing the association between alcohol and stress. I want to share something with you. The National Guidelines recommend that women have no more than seven drinks of alcohol per week to-to stay at that low risk level, to avoid the healthcare concerns that we spoke of earlier.",1,smoking cessation 
214,"You've indicated that your alcohol consumption is a bit higher than that, putting you at risk. So that's why I asked if you'd be willing to talk to Dr. Kirtley.",1,smoking cessation 
215,"Hi, Mrs. Smith. I wanted to let you know that at this appointment, we're gonna be giving Lilly some vaccines.",1,taking medicine / following medical procedure
216,Hmm. Can you tell me more about your concerns about vaccines?,1,taking medicine / following medical procedure
217,"Okay, so you were thinking that maybe exposing Lily naturally to these diseases would be a better choice than using vaccines to help her get stronger?",1,taking medicine / following medical procedure
218,"That's right. Having chickenpox as a child means that you are less likely to have chickenpox as an adult because you've developed a-a natural immunity. Uh, but is it okay if I offer you a little bit more information about the other vaccines that we're- we were going to give her Lily today?",1,taking medicine / following medical procedure
219,"Okay. So, uh, before vaccines were developed, often when children had a natural exposure to some of these diseases, they ended up with, uh, sometimes death, disability, measles caused brain damage and, uh, deafness and blindness. Polio caused, uh, paralysis in children. And so, allowing children to have natural exposure to these diseases, sometimes was a little bit of a gamble, it could be dangerous.",1,taking medicine / following medical procedure
220,It's really important for you to make sure that she's protected and that you make good decisions and do your research before you make any medical decisions for her.,1,taking medicine / following medical procedure
221,"So, again, I hear your overall goal is really, to not give up these things you'd like but to cut back on how much you have-",1,weight loss
222,"-on that. All right. So, I'd like to ask you, uh, kind of a scaling question about this 'cause I'm hearing that this feels really important to you that you'd be way up there on the high- on the high end of importance.",1,weight loss
223,"So, I'm gonna ask the question this way, on a scale of 0 to 10, where 0 is not at all confident, and 10 is like, ""I'm very, very confident,"" where would you put yourself on a scale right now of confidence in starting this new plan?",1,weight loss
224,"Okay. All right. So, let's talk about that, um, so we should just assume we're gonna be at a four.",1,weight loss
225,"So, why are you at a four and not even a lower number? Why are you not like a zero or a one?",1,weight loss
226,"Okay. So, what would help increase that confidence? What-- Because that sounds like where we really need to focus on. What's gonna help you feel more confident about this?",1,weight loss
227,"All right. Well, if it's okay, just for a moment, let's put the- let's put the changing the eating pattern off to the side, and let's take a look at some other time in your life that there was something you really wanted to accomplish and you did. And what is it about you- what was it about you? What kind of strengths did you bring to the table that allowed you to tackle something that felt like a challenge and-and allowed you to be successful?",1,weight loss
228,"We don't really recommend that. The idea is you would use the nicotine replacement to actually quit, so then you wouldn't be smoking at work, but you also wouldn't be smoking the rest of the time either.",0,smoking cessation 
229,"Well, to be honest with you, you mentioned the patch. I can't recommend a patch to you if you're gonna continue smoking. That can actually be pretty dangerous for you. In order to advise you about this at all, I need you to tell me a little bit more about your smoking history and how much you're smoking now.",0,smoking cessation 
230,"Well, there are some products that you could use to take away some of your cravings, and probably the gum would be the best option for you. It's not something you would continue to use continuously throughout the day, however, but gum is something you use just when you have a craving.",0,smoking cessation 
231,"Well, aside from the gum, you could try the nicotine lozenge, that would be another option for you. Again, that's not something you'd wanna use continuously throughout the day. The nicotine patch is the best for continuous nicotine replacement, but again, that's not something you can use while you're continuing to smoke.",0,smoking cessation 
232,"So, Rick, just in regards to your flatmate situation at the moment with Tristan. Uh, you know, we talked about how walking through this program and with the support of your parents and having some positive influence to help you through this. I just want to rethink a bit if you stay living with Tristan. What are the sort of pros and cons of that? What are the good things about living there, what are the not-so-good things about living there?",1,reducing alcohol consumption
233,"Yeah. So, in terms of being supportive and a sort of support you're gonna need to make these changes.",1,reducing alcohol consumption
234,"Okay. What are some of the pros and cons about moving in with whāna, moving in with your auntie and uncle?",1,reducing alcohol consumption
235,"In terms of that freedom and in charge of yourself, and the changes that we're talking about, and building your own family, and to enable you to do that, where do some of that freedom stuff sit with re-engaging back with your whānau and your children, your partner? Is it something you're gonna wanna hang on to, or how you're going to manage that?",1,reducing alcohol consumption
236,"Okay, so I'm just gonna ask you a couple of more background questions.",0,reducing alcohol consumption
237,Okay. How about in the last year?,0,reducing alcohol consumption
238,"Okay. So it sounds like you're drinking about four times a week, anywhere between three and eight drinks on a given day. So, maybe around 20 drinks a week?",0,reducing alcohol consumption
239,"Do you, um, do you ever use any prescription medicines that were not prescribed for you, or ever use your own prescriptions in a way on which they were not prescribed?",0,reducing alcohol consumption
240,"Okay. So, you know, as we said before, you're drinking-- it sounds like you're drinking about 20 drinks a week, over the course of a few days. And I did want to point out to you that the recommended limit for women is actually no more than seven drinks a week, and no more than three on a given day.",0,reducing alcohol consumption
241,"So you're doing more than that right now. And when you drink more than this amount, it puts you at risk for a number of things, okay? Things like greater risk of injury, damage to different parts of your body, um, just a bunch of different problems. And, uh-- so I'm going to recommend that you cut down- cut down that amount to the recommended limit. Again, that's no more than seven drinks a week and no more than three on a given day. Do you think you could do that? Would that be a good goal for you?",0,reducing alcohol consumption
242,"Yeah. Well, it's possible you strained your ankle as a result of the alcohol. You know, it can actually affect your balance and stability. So, really, you know, for where you are right now, you're drinking a good amount more than what's recommended. And, you know, I want you to be healthy. And I don't want to see you coming back in here for something else. So I'm really gonna recommend that you try to cut down to that amount. So, do you think you could do that, cut down to no more than three drinks on a given day?",0,reducing alcohol consumption
243,"So, it sounds like, you know, the amount you drink is pretty normal-",0,reducing alcohol consumption
244,"-amongst the people you typically drink with. But these limits are-- they're actually recommended for all adults. And studies have shown that when you drink more than this, it creates a bunch of problems like we talked about. So, you know, why do you think you drink the amount you drink?",0,reducing alcohol consumption
245,"Well, I think you can still have fun within these amounts. So that's what I'm gonna recommend. Um, I think this is a really good goal, and hopefully, we won't see any more injuries. Okay? So why don't you try that?",0,reducing alcohol consumption
246,All right. Thank you so much.,0,reducing alcohol consumption
247,"So I get a sense it's a little anxious being here today and, uh, meeting someone like me, and, um, what we're gonna be doing today is-is inducting, but also I wanna talk about, um, yeah, the issues that-that have got you here and we need to do some sorting out around, um, yeah how serious you are to sort of sort those issues. So?",1,reducing gambling
248,"So first, it might be trying to sort out what are the important issues to sort out.",1,reducing gambling
